country,pc1,pc2
Afghanistan,-5.719186909122599,0.9050172900425244
Algeria,-4.346959377662576,-3.023446241865337
Angola,-2.7437797995556488,0.9057948894818428
Argentina,3.0081397651362813,2.462417279584158
Bangladesh,-5.122549068606528,-3.191569169462696
Benin,-4.258175445434906,3.6506217866605986
Bolivia,-1.568461108736427,1.659234082582086
Botswana,-1.1427624482422971,3.592157324804963
Brazil,2.2196235843257113,0.7679483244471943
Burkina Faso,-6.126929013546524,2.5171376735074014
Burundi,-9.790497189322728,0.5285487733397762
Cambodia,-5.0768120423273215,-0.6802100976103884
Cameroon,-6.363716912534161,0.1305564021766134
Central African Republic,-7.035315067927975,4.566095246987963
Chad,-11.06368600439601,1.8559012594411413
China,-0.11634646702090623,-7.222512549153824
Colombia,-0.18023000355571,0.8250883321428614
Republic of the Congo,-7.505223035547583,-0.5664243145305715
Costa Rica,3.070310039814921,2.9331540314289963
Ivory Coast,-3.8842694659576242,2.2413042121049935
Cuba,-0.9703652826942037,-7.333604848785247
Democratic Republic of the Congo,-8.005134377447845,-0.4820678932446576
Dominican Republic,-0.48904554395428723,2.4154232251878556
Ecuador,-1.027225216860689,1.7451997428864647
Egypt,-4.32556130122133,-3.8609433816945087
El Salvador,-1.7955153749403612,4.7541847563582555
Ethiopia,-8.124141761431362,-1.8470687927143374
Gabon,-3.4312501411869265,0.9676305456548162
Georgia,2.191986504287549,2.1201569159387446
Ghana,-1.3799284700247256,3.898221786422476
Guatemala,-1.4969320537340962,0.6849627324338532
Guinea,-7.786260518581915,3.079491964432148
Guyana,-1.7593767911551275,3.5999035359955682
Haiti,-6.138243485127068,3.512739431260033
Honduras,-2.644352067401486,4.358624449312764
India,-1.460030894395072,-1.8417686483299331
Indonesia,-0.8247106132555253,-0.2839405016049998
Iran,-1.1698233929843458,-6.178551462576619
Jamaica,1.3170632532186564,4.320669507163171
Jordan,-2.0302449840395562,-2.892282305803451
Kazakhstan,0.2981988028530022,-5.774106370144775
Kenya,-2.598369795842692,0.2491417477449836
Kyrgyzstan,-1.6775536889714442,1.778839351377664
Laos,-6.014477282414253,-0.504817455748738
Lebanon,-2.204008032842934,-1.721486247933405
Lesotho,-3.3969878979441264,2.871784664635348
Liberia,-5.37571106566218,5.751913422962529
Libya,-3.561652486549418,-0.5762289795435193
Madagascar,-7.018191911014716,5.327279906535821
Malawi,-6.9157617591395635,4.893480800762886
Malaysia,3.3592140728597153,-3.33095758022846
Mali,-6.714107007290899,0.9669359394974565
Mauritius,3.5587376545223206,-0.6179049033342665
Mexico,0.39457837296131276,3.0493153962629074
Mongolia,1.806944131056012,-0.439502571619443
Morocco,-3.1815734402458378,-0.45080663226814877
Mozambique,-6.275910212214303,4.800595365286784
Myanmar,-5.226541916536663,-1.6128776202300728
Namibia,-1.0278916429281288,1.840926832052042
Nepal,-4.093560491873742,0.7689170743303204
Nicaragua,-5.880670675415613,-2.7115746898734416
Niger,-6.518861465822893,0.8622879224928386
Nigeria,-4.21088496144435,3.041046946381887
Pakistan,-7.327876302129702,-1.8554260616000278
Paraguay,0.488552201304303,4.288056240323591
Peru,-0.8000344971897037,2.208081545353222
Philippines,-1.4006388652728654,1.4187889423642546
Rwanda,-3.9573701021769616,-2.656739039701503
Senegal,-3.433066074310409,1.728598304346754
Sierra Leone,-4.582022563145889,4.85137983702779
Somalia,-3.4461281560496633,-0.3566038595599127
South Africa,2.1612751835223434,0.975215935161758
South Sudan,-6.660134109118639,-1.7637421380675065
Sri Lanka,-0.21106765592187776,-0.49325346404206294
Sudan,-7.1175707598871565,-4.056108519194632
Tajikistan,-5.733556904249251,-4.004014233089238
United Republic of Tanzania,-5.839309994454824,1.3783482129605789
Thailand,1.0788997163717138,-4.601155080809396
East Timor,-3.2155679727409345,2.9136788722448035
Togo,-3.967331014480697,-0.40827530970118453
Trinidad and Tobago,2.8868150935493753,1.8445137112009504
Tunisia,-1.3521473096641465,2.4705600089501725
Turkey,-0.24154024210189648,-5.9708964880440725
Uganda,-5.123654663393239,0.1417255170999262
Ukraine,0.549055449894563,-0.5197581702025957
Uzbekistan,-3.22545345097789,-5.6997875189853024
Vietnam,-2.2235787248178505,-4.517238438051987
Zambia,-5.777235130323038,1.1162449867743027
Zimbabwe,-5.69019041642513,1.0575697843665817
Venezuela,-2.5001111327751895,-4.393760459968223
Yemen,-6.4634760290163635,-4.590381303542566
Chile,4.084250844765166,1.5475122583476055
Panama,1.328844318816965,3.5281961891532183
Russia,3.02610102621405,-5.606369073888493
Uruguay,4.103889181262014,1.1902035516309943
Armenia,1.6020017591484474,2.008241504451912
Australia,9.283309324313116,-0.2121714981677068
Azerbaijan,-3.2131923015753783,-5.065865387330236
Bahrain,0.5753069813402272,-7.881102500119661
Belarus,1.702623627105309,-2.706270280883182
Canada,8.91419108741943,-0.3462298651239657
Estonia,9.504941075253678,0.1973060545136236
France,7.948983076050825,-0.8144309971566565
Germany,8.452726310039875,-0.4001810179032162
Hungary,4.597476599872972,1.237735513053582
Italy,6.1788051130749775,0.8930271727842382
Japan,8.554145836637918,-0.2367900794285681
Saudi Arabia,-0.23974028605024922,-9.07843512049971
Singapore,7.445681631921865,-5.692166328650581
South Korea,8.494500593989637,-0.5262841035684127
Syria,-2.70218019796192,-6.21675389250778
United Arab Emirates,3.324896038409962,-7.155207533947123
United Kingdom,8.98696367856527,-1.7917652559853061
United States of America,7.680045622884259,-1.7287551235464025
Albania,-0.7464735552665667,2.419770687515528
Austria,8.645870569304735,-0.008008576775199672
Belgium,8.821987976439766,0.5755953370394523
